DEBUG:root:Episode 259  Average Score: 29.805   Current (avg) Score: 31.561
DEBUG:root:Episode 260  Average Score: 29.810   Current (avg) Score: 30.441
DEBUG:root:Episode 261  Average Score: 29.811   Current (avg) Score: 30.181
DEBUG:root:Episode 262  Average Score: 29.820   Current (avg) Score: 30.592
DEBUG:root:Episode 263  Average Score: 29.823   Current (avg) Score: 29.141
DEBUG:root:Episode 264  Average Score: 29.821   Current (avg) Score: 29.792
DEBUG:root:Episode 265  Average Score: 29.846   Current (avg) Score: 31.015
DEBUG:root:Episode 266  Average Score: 29.868   Current (avg) Score: 31.835
DEBUG:root:Episode 267  Average Score: 29.876   Current (avg) Score: 30.501
DEBUG:root:Episode 268  Average Score: 29.896   Current (avg) Score: 31.195
DEBUG:root:Episode 269  Average Score: 29.912   Current (avg) Score: 29.929
DEBUG:root:Episode 270  Average Score: 29.934   Current (avg) Score: 31.232
DEBUG:root:Episode 271  Average Score: 29.953   Current (avg) Score: 31.165
DEBUG:root:Episode 272  Average Score: 29.984   Current (avg) Score: 31.466
DEBUG:root:Episode 273  Average Score: 30.010   Current (avg) Score: 31.397
INFO:root:Environment solved in 174 episodes!
INFO:root:Saving checkpoint file at checkpoint-%d.pth
